instancia,algoritmo,tempo
100,Dinamica,0.000242
100,Backtracking,0.000042
100,BranchBound,0.000142
100,Dinamica,0.000256
100,Backtracking,0.000034
100,BranchBound,0.000136
100,Dinamica,0.000315
100,Backtracking,0.000176
100,BranchBound,0.000086
100,Dinamica,0.000267
100,Backtracking,0.000095
100,BranchBound,0.000178
100,Dinamica,0.000237
100,Backtracking,0.000045
100,BranchBound,0.000199
100,Dinamica,0.000265
100,Backtracking,0.000029
100,BranchBound,0.000201
100,Dinamica,0.000239
100,Backtracking,0.000061
100,BranchBound,0.000122
100,Dinamica,0.000238
100,Backtracking,0.000035
100,BranchBound,0.000164
100,Dinamica,0.000255
100,Backtracking,0.000091
100,BranchBound,0.000198
100,Dinamica,0.000253
100,Backtracking,0.000081
100,BranchBound,0.000201
200,Dinamica,0.000958
200,Backtracking,0.005425
200,BranchBound,0.0000154
200,Dinamica,0.000930
200,Backtracking,0.004472
200,BranchBound,0.000372
200,Dinamica,0.000985
200,Backtracking,0.009484
200,BranchBound,0.000231
200,Dinamica,0.000890
200,Backtracking,0.006955
200,BranchBound,0.000244
200,Dinamica,0.000994
200,Backtracking,0.016534
200,BranchBound,0.000263
200,Dinamica,0.000876
200,Backtracking,0.014782
200,BranchBound,0.000248
200,Dinamica,0.000911
200,Backtracking,0.023745
200,BranchBound,0.000315
200,Dinamica,0.000903
200,Backtracking,0.019292
200,BranchBound,0.000250
200,Dinamica,0.001011
200,Backtracking,0.004657
200,BranchBound,0.000236
200,Dinamica,0.000894
200,Backtracking,0.016735
200,BranchBound,0.000307
300,Dinamica,0.002037
300,Backtracking,0.616569
300,BranchBound,0.000279
300,Dinamica,0.002058
300,Backtracking,0.0767278
300,BranchBound,0.000388
300,Dinamica,0.002116
300,Backtracking,1.524045
300,BranchBound,0.000608
300,Dinamica,0.002118
300,Backtracking,7.806663
300,BranchBound,0.000331
300,Dinamica,0.002065
300,Backtracking,0.101391
300,BranchBound,0.000310
300,Dinamica,0.002082
300,Backtracking,0.513617
300,BranchBound,0.000235
300,Dinamica,0.001987
300,Backtracking,0.338542
300,BranchBound,0.000429
300,Dinamica,0.002032
300,Backtracking,0.617342
300,BranchBound,0.000321
300,Dinamica,0.002071
300,Backtracking,0.130600
300,BranchBound,0.000361
300,Dinamica,0.002023
300,Backtracking,0.905963
300,BranchBound,0.000342
400,Dinamica,0.003635
400,Backtracking,15.901509
400,BranchBound,0.000340
400,Dinamica,0.003507
400,BranchBound,0.000495
400,Dinamica,0.003574
400,BranchBound,0.000369
400,Dinamica,0.003599
400,BranchBound,0.000410
400,Dinamica,0.003683
400,BranchBound,0.000439
400,Dinamica,0.003683
400,BranchBound,0.000391
400,Dinamica,0.003619
400,BranchBound,0.000436
400,Dinamica,0.003711
400,BranchBound,0.000400
400,Dinamica,0.003603
400,BranchBound,0.000559
400,Dinamica,0.003625
400,BranchBound,0.000403
500,Dinamica,0.005684
500,BranchBound,0.000605
500,Dinamica,0.005759
500,BranchBound,0.000624
500,Dinamica,0.005683
500,BranchBound,0.000619
500,Dinamica,0.005692
500,BranchBound,0.000489
500,Dinamica,0.005570
500,BranchBound,0.000520
500,Dinamica,0.005624
500,BranchBound,0.000472
500,Dinamica,0.005988
500,BranchBound,0.000713
500,Dinamica,0.005684
500,BranchBound,0.000383
500,Dinamica,0.005841
500,BranchBound,0.000614
500,Dinamica,0.005568
500,BranchBound,0.000587
600,Dinamica,0.008118
600,BranchBound,0.000799
600,Dinamica,0.008112
600,BranchBound,0.000878
600,Dinamica,0.008268
600,BranchBound,0.000926
600,Dinamica,0.008140
600,BranchBound,0.000616
600,Dinamica,0.008054
600,BranchBound,0.000780
600,Dinamica,0.008257
600,BranchBound,0.000957
600,Dinamica,0.008110
600,BranchBound,0.000590
600,Dinamica,0.008152
600,BranchBound,0.000693
600,Dinamica,0.008257
600,BranchBound,0.000544
600,Dinamica,0.008501
600,BranchBound,0.000691
700,Dinamica,0.011242
700,BranchBound,0.000541
700,Dinamica,0.011196
700,BranchBound,0.000576
700,Dinamica,0.011020
700,BranchBound,0.001195
700,Dinamica,0.011732
700,BranchBound,0.000808
700,Dinamica,0.011152
700,BranchBound,0.000555
700,Dinamica,0.011247
700,BranchBound,0.000824
700,Dinamica,0.011092
700,BranchBound,0.000598
700,Dinamica,0.011329
700,BranchBound,0.000693
700,Dinamica,0.011378
700,BranchBound,0.000939
700,Dinamica,0.011115
700,BranchBound,0.000605
800,Dinamica,0.014849
800,BranchBound,0.001161
800,Dinamica,0.014828
800,BranchBound,0.000847
800,Dinamica,0.014901
800,BranchBound,0.000899
800,Dinamica,0.014819
800,BranchBound,0.000799
800,Dinamica,0.014618
800,BranchBound,0.001042
800,Dinamica,0.015221
800,BranchBound,0.000944
800,Dinamica,0.014446
800,BranchBound,0.000626
800,Dinamica,0.014688
800,BranchBound,0.000832
800,Dinamica,0.014937
800,BranchBound,0.000961
800,Dinamica,0.014743
800,BranchBound,0.001051
900,Dinamica,0.019218
900,BranchBound,0.001409
900,Dinamica,0.018758
900,BranchBound,0.000877
900,Dinamica,0.019083
900,BranchBound,0.001142
900,Dinamica,0.018757
900,BranchBound,0.000979
900,Dinamica,0.018869
900,BranchBound,0.000949
900,Dinamica,0.018900
900,BranchBound,0.000700
900,Dinamica,0.018812
900,BranchBound,0.000889
900,Dinamica,0.018481
900,BranchBound,0.001515
900,Dinamica,0.01900
900,BranchBound,0.000807
900,Dinamica,0.018886
900,BranchBound,0.000766
