n,algoritmo,tempo
200,Dinamica,0.000432
200,Dinamica,0.000472
200,Dinamica,0.00052
200,Dinamica,0.000473
200,Dinamica,0.000496
200,Dinamica,0.000455
200,Dinamica,0.000493
200,Dinamica,0.000466
200,Dinamica,0.000468
200,Dinamica,0.000464
200,Backtracking,0.000137
200,Backtracking,0.000314
200,Backtracking,0.001308
200,Backtracking,0.00015
200,Backtracking,0.000299
200,Backtracking,0.001453
200,Backtracking,0.000122
200,Backtracking,0.000774
200,Backtracking,0.001482
200,Backtracking,0.000357
200,BranchBound,0.0002
200,BranchBound,0.000245
200,BranchBound,0.00022
200,BranchBound,0.00023
200,BranchBound,0.000169
200,BranchBound,0.000345
200,BranchBound,0.000193
200,BranchBound,0.000201
200,BranchBound,0.000241
200,BranchBound,0.000228
300,Dinamica,0.000735
300,Dinamica,0.000748
300,Dinamica,0.000655
300,Dinamica,0.000702
300,Dinamica,0.000711
300,Dinamica,0.00075
300,Dinamica,0.000705
300,Dinamica,0.000699
300,Dinamica,0.000675
300,Dinamica,0.000817
300,Backtracking,0.000891
300,Backtracking,0.007925
300,Backtracking,0.005315
300,Backtracking,0.008988
300,Backtracking,0.003748
300,Backtracking,0.007754
300,Backtracking,0.001276
300,Backtracking,0.001358
300,Backtracking,0.002722
300,Backtracking,0.001022
300,BranchBound,0.000231
300,BranchBound,0.000417
300,BranchBound,0.000264
300,BranchBound,0.000356
300,BranchBound,0.000206
300,BranchBound,0.000353
300,BranchBound,0.000301
300,BranchBound,0.000241
300,BranchBound,0.000252
300,BranchBound,0.00023
400,Dinamica,0.000888
400,Dinamica,0.000919
400,Dinamica,0.000976
400,Dinamica,0.000858
400,Dinamica,0.001115
400,Dinamica,0.000911
400,Dinamica,0.000957
400,Dinamica,0.000893
400,Dinamica,0.001001
400,Dinamica,0.000879
400,Backtracking,0.010718
400,Backtracking,0.002354
400,Backtracking,0.002995
400,Backtracking,0.154746
400,Backtracking,0.011914
400,Backtracking,0.002639
400,Backtracking,0.004103
400,Backtracking,0.010356
400,Backtracking,0.023389
400,Backtracking,0.015286
400,BranchBound,0.000358
400,BranchBound,0.000303
400,BranchBound,0.000328
400,BranchBound,0.000399
400,BranchBound,0.000328
400,BranchBound,0.000438
400,BranchBound,0.0004
400,BranchBound,0.000316
400,BranchBound,0.000411
400,BranchBound,0.00041
500,Dinamica,0.001059
500,Dinamica,0.001147
500,Dinamica,0.001152
500,Dinamica,0.001105
500,Dinamica,0.001286
500,Dinamica,0.001153
500,Dinamica,0.001162
500,Dinamica,0.001192
500,Dinamica,0.001082
500,Dinamica,0.001242
500,Backtracking,0.065224
500,Backtracking,0.003441
500,Backtracking,0.038754
500,Backtracking,0.050206
500,Backtracking,0.068231
500,Backtracking,0.013739
500,Backtracking,0.449393
500,Backtracking,0.210065
500,Backtracking,0.053824
500,Backtracking,0.010998
500,BranchBound,0.000489
500,BranchBound,0.0004
500,BranchBound,0.000333
500,BranchBound,0.000439
500,BranchBound,0.000348
500,BranchBound,0.000398
500,BranchBound,0.000373
500,BranchBound,0.000326
500,BranchBound,0.000401
500,BranchBound,0.000436
700,Dinamica,0.001736
700,Dinamica,0.001548
700,Dinamica,0.001801
700,Dinamica,0.001644
700,Dinamica,0.001694
700,Dinamica,0.001564
700,Dinamica,0.001557
700,Dinamica,0.001614
700,Dinamica,0.001557
700,Dinamica,0.001581
700,Backtracking,0.128227
700,Backtracking,0.708626
700,Backtracking,1.285983
700,Backtracking,0.537415
700,Backtracking,2.280658
700,Backtracking,0.614227
700,Backtracking,1.996288
700,Backtracking,1.820112
700,Backtracking,0.121083
700,Backtracking,0.195743
700,BranchBound,0.000591
700,BranchBound,0.000658
700,BranchBound,0.000498
700,BranchBound,0.000445
700,BranchBound,0.000381
700,BranchBound,0.000501
700,BranchBound,0.000496
700,BranchBound,0.000451
700,BranchBound,0.000655
700,BranchBound,0.000469
900,Dinamica,0.002027
900,Dinamica,0.002091
900,Dinamica,0.002133
900,Dinamica,0.001997
900,Dinamica,0.002066
900,Dinamica,0.002057
900,Dinamica,0.002057
900,Dinamica,0.002025
900,Dinamica,0.002061
900,Dinamica,0.002065
900,Backtracking,2.196339
900,Backtracking,0.217252
900,Backtracking,3.179238
900,Backtracking,38.802384
900,Backtracking,3.035271
900,Backtracking,11.510861
900,Backtracking,0.875436
900,Backtracking,2.439065
900,Backtracking,32.881137
900,Backtracking,0.176857
900,BranchBound,0.000682
900,BranchBound,0.000812
900,BranchBound,0.000665
900,BranchBound,0.0006
900,BranchBound,0.000599
900,BranchBound,0.000657
900,BranchBound,0.000704
900,BranchBound,0.000755
900,BranchBound,0.000915
900,BranchBound,0.000696
1000,Dinamica,0.002242
1000,Dinamica,0.002409
1000,Dinamica,0.002219
1000,Dinamica,0.002227
1000,Dinamica,0.002271
1000,Dinamica,0.002276
1000,Dinamica,0.002285
1000,Dinamica,0.002241
1000,Dinamica,0.002272
1000,Dinamica,0.002169
1000,Backtracking,0.45003
1000,Backtracking,7.660024
1000,Backtracking,17.312585
1000,Backtracking,6.539258
1000,Backtracking,236.383818
1000,Backtracking,2.329758
1000,Backtracking,0.97146
1000,Backtracking,413.314441
1000,Backtracking,6.62454
1000,Backtracking,0.224989
1000,BranchBound,0.000652
1000,BranchBound,0.000706
1000,BranchBound,6.7e-05
1000,BranchBound,0.000905
1000,BranchBound,0.000831
1000,BranchBound,0.001302
1000,BranchBound,0.000911
1000,BranchBound,0.000658
1000,BranchBound,0.000638
1000,BranchBound,0.00085
